"study","ty","n1","n0","s1","s0","u_lnHR","v_lnHR","t_lnHR","u_sen","u_spe","v_sen","v_spe","v_senspe","v_senlnHR","v_spelnHR"
1,3,94,13,0.92,0.96,1.01160091167848,0.255221239839787,2.00239985439217,2.67149260536841,-1.93578581038967,2.20988101688617,0.092067491698093,0.00725574935188525,-0.000127828429935794,-5.25491177347845e-06
4,3,122,122,0.85,0.92,0.667829372575655,0.147225892628762,1.74049755800029,0.628608659422375,0.0791373205587238,0.175422101286576,0.0188450584927414,0.00217698220297026,3.46363506850539e-05,4.66606597811947e-06
5,3,66,45,0.78,0.95,1.11185751541813,0.305480069837072,2.01167442828364,1.86459679318032,-0.185824187345157,0.601838707747513,0.0437030594900307,0.00657441731289514,0.000899868284580898,9.0662634960048e-05
6,3,40,35,0.55,0.72,0.322083499169113,0.139930199676668,0.861019027372116,0.607989372219638,0.135801541159062,0.174753495428229,0.0898395548058261,0.00841835890300313,0.000849131825410214,0.00044850526131701
7,3,13,34,0.84,1,2.84665205053984,1.00167012029429,2.844277898286,1.45450261114643,1.1213758168473,0.601585627617307,0.124303124113797,-0.0120013585835597,-0.0249416919196353,0.000396618815734065
8,3,84,62,0.88,0.99,0.593326845277734,0.226693710811723,1.24616130810856,2.78858906358622,-0.185899378141839,1.8632242444601,0.0300154300921632,0.00275484033556653,0.000160278387789211,9.4951127904075e-06
11,3,56,56,0.89,0.96,1.06471073699243,0.211231931049193,2.31660425153063,1.01160091167848,0.0757118217356962,0.660585057636594,0.0389890224165513,0.00357301198312138,8.19556555440101e-05,7.75222827598738e-06
15,3,153,168,0.8,0.86,0.300104592450338,0.0217296894573243,2.0358504930841,0.263148885927909,0.165846719590449,0.0839944468363129,0.0154744899586913,0.00179565119083483,1.70313617925269e-06,3.76551525919591e-07
16,3,54,64,0.91,0.98,1.22671229129543,0.193039650888181,2.79202597966025,1.33417835998088,0.244007008949119,1.14057622990851,0.0366126926188825,0.00526990575973884,0.000117514927315423,7.70484503110886e-06
18,3,23,44,0.6,0.809090909,1.43270073393405,0.411280211288802,2.23401752868862,0.0909717777295361,0.947677045582466,0.253953519972944,0.104907271518213,0.00939106165063713,0.00284489585578426,0.00148654805232984
22,3,100,88,0.95,1,0.631271776841858,0.0608200339698547,2.55972343148907,2.31388464824798,-0.0821738948405902,0.235715087874876,0.0219574076974625,-0.0100819810209396,-0.000682139959263212,-3.52259377062398e-06
23,3,74,103,0.6,0.805825243,0.506817602368452,0.0457105060493974,2.37052028159618,0.392042089226024,0.625601138707816,0.0923089013452205,0.0362460142021529,0.00335466428576198,6.63439270402321e-05,3.30053724931614e-05
24,3,136,159,0.97,0.9,0.378436435720245,0.119561061426694,1.09445538514516,-1.36022212081011,0.0813480083110621,0.351457890927497,0.0147246150509765,0.00215091338478865,-1.79143850818083e-05,-1.36818656446113e-06
25,3,43,127,0.79,0.9,0.717839793150317,0.0972958456086369,2.3013378541975,-0.341049626035651,1.21334878862827,0.20962557588859,0.0389868970072986,0.0037014595683948,0.000148409548143018,3.62451473873624e-05
28,3,137,234,0.85,0.93,1.58514521986506,0.0633043035601985,6.30017245733659,0.226799862517321,0.625288426192516,0.123376838323525,0.0134195908254719,0.00166265830872152,1.32504591818927e-05,2.03631512050834e-06
31,3,61,127,0.88,0.91,0.641853886172395,0.0599041594182984,2.62245283301847,-0.445631149833499,0.766835914323924,0.0992843643859754,0.0284212675404997,-0.00726186998923898,0.000337826221610635,0.00014592778144645
32,3,82,164,0.74,0.877073171,0.883767540168595,0.0310039870815151,5.01913957234434,0.0559451582770163,0.863087416548874,0.302464997137876,0.0230069889322454,0.0166919119486949,-0.000355791295127296,-5.15117558717067e-05
33,3,42,42,0.77,0.87,0.048790164169432,0.10846401290499,0.148145834714157,0.570544858467613,0.1221026968009,0.31837281511183,0.0595672929875327,0.00601075657942787,0.00026187373546481,5.52038542106525e-05
34,3,64,63,0.83,0.96,-0.867500567704723,0.140663815259035,-2.31301565038701,1.46266733990446,0.1297592267031,0.56701257483602,0.035952800899963,0.00511640220447868,0.000208844132173872,2.1903255034129e-05
35,3,78,115,0.77,0.91,1.22964055107451,0.210606305551376,2.67943047121101,0.550046336919273,0.555277386336825,0.169893484979323,0.0269668729247739,0.00321722183429711,0.000108221307060643,2.81909651420558e-05
36,3,93,141,0.88,0.965035461,0.506817602368452,0.144742547078222,1.33215139728189,0.816996969101407,0.508403337566745,0.32326651519957,0.0197527664452442,0.00195208240723916,6.31372768002557e-05,6.48670256565111e-06
37,3,138,177,0.74,0.877740113,0.858661619037519,0.0462134169686791,3.99427544513138,0.505636583258525,0.419596412176169,0.0830134648240899,0.0166733339902874,0.00179642754270169,3.18528684253757e-05,8.07586112646593e-06
38,3,32,31,0.65,0.96,0.920282753143692,0.221983453719013,1.953264158502,2.2008023986841,0.358212223257619,0.94698746878151,0.0845463516243731,0.00692453994591417,0.000398795917975082,0.00025063270546971
1,5,94,13,0.81,0.9,1.01160091167848,0.255221239839787,2.00239985439217,2.62019931098086,-1.87298490915064,0.987817994559574,0.101079585320323,0.019421368252897,0.000838876409645007,9.50363702051648e-05
4,5,122,122,0.7,0.88,0.667829372575655,0.147225892628762,1.74049755800029,0.916290731874155,0.228841572428847,0.111265551527282,0.0220990270170348,0.00352045366242744,7.86471508594374e-05,2.43898035073903e-05
5,5,66,45,0.6,0.8,1.11185751541813,0.305480069837072,2.01167442828364,1.07613943281605,-0.095310179804325,0.182312791403963,0.0571934362079032,0.0106003075417572,0.00134304949208653,0.000459136628662727
6,5,40,35,0.32,0.61,0.322083499169113,0.139930199676668,0.861019027372116,0.689477451670983,0.511606568749062,0.123146084227154,0.144018586438336,0.0133419959940252,0.000767164141105851,0.000892191954015191
7,5,13,34,0.6,0.97,2.84665205053984,1.00167012029429,2.844277898286,1.6288559982912,1.44177758343591,1.45344739688901,0.179118707696423,0.0378167857463719,0.0105191688676202,0.00622879745177305
8,5,84,62,0.8,0.95,0.593326845277734,0.226693710811723,1.24616130810856,1.68997677491811,-0.131832156871563,0.471521152887482,0.0326609585072707,0.00653802535467011,0.000365409159582415,3.86676515642988e-05
11,5,56,56,0.75,0.9,1.06471073699243,0.211231931049193,2.31660425153063,0.916290731874155,0.182321556793955,0.302323754592518,0.0456456732329355,0.00884879194252903,0.000310454753734772,6.71644506254908e-05
15,5,153,168,0.7,0.76,0.300104592450338,0.0217296894573243,2.0358504930841,0.129617493303387,0.175764156247796,0.0542526546286459,0.0182267639565138,0.00281439619527429,4.45737076481646e-06,1.67476647744853e-06
16,5,54,64,0.7,0.92,1.22671229129543,0.193039650888181,2.79202597966025,1.15185680318692,0.443192371795078,0.324154423039639,0.0460224368478633,0.0098633643507735,0.000499095122952301,0.000125173065555427
22,5,100,88,0.8,0.9,0.631271776841858,0.0608200339698547,2.55972343148907,0.82098055206983,-0.0100503358535013,0.208394458626356,0.026184231732047,0.00637269098447905,7.44975946938736e-05,1.1692465967959e-05
23,5,74,103,0.5,0.693203884,0.506817602368452,0.0457105060493974,2.37052028159618,0.157760793696927,0.657379957429606,0.0665958809701646,0.0450047566062476,0.00518432694598796,7.62378099679401e-05,5.86162670263915e-05
24,5,136,159,0.85,0.85,0.378436435720245,0.119561061426694,1.09445538514516,-0.15624931648418,0.15624931648418,0.1108543353534,0.016669615352597,0.00351282464757513,-1.84034748400797e-05,-3.2476720306023e-06
25,5,43,127,0.65,0.82,0.717839793150317,0.0972958456086369,2.3013378541975,-0.41801066717178,1.31531894813364,0.128844575106164,0.0486208350984852,0.00718387039025017,0.00020077640396644,9.96481718963456e-05
28,5,137,234,0.73,0.89,1.58514521986506,0.0633043035601985,6.30017245733659,0.362601403676382,0.733517118113325,0.0774492963158182,0.0155349363167008,0.00255931964767097,2.91805435141815e-05,9.04104489927932e-06
31,5,61,127,0.78,0.91,0.641853886172395,0.0599041594182984,2.62245283301847,0.160504653736817,0.887463902112538,0.0420170209334505,0.0464471555868276,-0.00639400071445568,0.000139175178403126,0.000528767961110124
32,5,82,164,0.4,0.715853659,0.883767540168595,0.0310039870815151,5.01913957234434,0.0542930839975635,1.27515839265126,0.294845715733084,0.0271173117641071,0.0241862077173863,-0.000209727791388006,-0.000150681978338036
33,5,42,42,0.7,0.77,0.048790164169432,0.10846401290499,0.148145834714157,0.265703165733006,0.0953101798043249,0.208923261819891,0.0680962511900755,0.00892994091320303,0.000241527410652585,8.59568344855127e-05
34,5,64,63,0.7,0.88,-0.867500567704723,0.140663815259035,-2.31301565038701,0.932039088842295,0.213093215460708,0.22468286790896,0.0424349189413514,0.0078461995390206,0.000319105057962031,8.01527854070323e-05
36,5,93,141,0.83,0.895248227,0.506817602368452,0.144742547078222,1.33215139728189,0.0680445551520255,0.491835724858462,0.155457715607716,0.0214789922995676,0.00369483246842919,7.48038573078482e-05,1.29722078851703e-05
37,5,138,177,0.5,0.791186441,0.858661619037519,0.0462134169686791,3.99427544513138,0.624270259365984,0.707821591896232,0.0483990264043623,0.0239946990722615,0.00329846486604149,4.45627959870407e-05,3.14435224595097e-05
38,5,32,31,0.65,0.96,0.920282753143692,0.221983453719013,1.953264158502,2.2008023986841,0.358212223257619,0.94698746878151,0.0845463516243731,0.00692453994591417,0.000398795917975082,0.00025063270546971
